model,dataset,mode,runtime,requests,prompt_tokens,cache_evidence_tokens,mean_latency_ms,p95_latency_ms,throughput_rps,gpu_energy_j,idle_adjusted_gpu_energy_j,gpu_joules_per_request,energy_source,energy_error,reuse_failures,idle_stable,source_file
google/gemma-4-12B-it,ag_news,rag,lmcache_vllm,256,43476,0.0,25.142314072809313,26.64470751187764,39.772136586448845,3765.739,3226.309648712997,14.70991796875,nvml,,0,True,results_full/gemma4_12b/ag_news/rag/lmcache_vllm/benchmark_lmcache_google_gemma-4-12B-it_public_dataset_ag_news_rag.json
google/gemma-4-12B-it,ag_news,rag,sglang_radix_attention,256,46804,30393,40.321459311371655,41.438031519646756,24.800053547488282,4749.476,3905.801402861333,18.552640625,nvml,,0,True,results_full/gemma4_12b/ag_news/rag/sglang_radix_attention/benchmark_sglang_radix_attention_google_gemma-4-12B-it_public_dataset_ag_news_rag.json
google/gemma-4-12B-it,ag_news,rag,vllm_apc,256,43476,17472.0,21.522365360851836,24.05897551216185,46.461522598623894,2923.11,2459.0717877252455,11.4183984375,nvml,,0,True,results_full/gemma4_12b/ag_news/rag/vllm_apc/benchmark_vllm_apc_google_gemma-4-12B-it_public_dataset_ag_news_rag.json
google/gemma-4-12B-it,ag_news,templated,lmcache_vllm,256,40916,0.0,24.956110866241943,25.81099048256874,40.06902471119487,3732.858,3219.084046264256,14.5814765625,nvml,,0,True,results_full/gemma4_12b/ag_news/templated/lmcache_vllm/benchmark_lmcache_google_gemma-4-12B-it_public_dataset_ag_news_templated.json
google/gemma-4-12B-it,ag_news,templated,sglang_radix_attention,256,44244,27843,40.314223457244225,41.430836005019955,24.804383285844374,4747.284,3893.745444759373,18.544078125,nvml,,0,True,results_full/gemma4_12b/ag_news/templated/sglang_radix_attention/benchmark_sglang_radix_attention_google_gemma-4-12B-it_public_dataset_ag_news_templated.json
google/gemma-4-12B-it,ag_news,templated,vllm_apc,256,40916,17408.0,21.352328519014918,24.131320489686914,46.83150331733409,2897.99,2454.778351081378,11.3202734375,nvml,,0,True,results_full/gemma4_12b/ag_news/templated/vllm_apc/benchmark_vllm_apc_google_gemma-4-12B-it_public_dataset_ag_news_templated.json
google/gemma-4-12B-it,daily_dialog,rag,lmcache_vllm,256,53705,256.0,26.86944085940013,33.84332875430118,37.21576033105217,4010.62,3432.1627074394974,15.666484375,nvml,,0,True,results_full/gemma4_12b/daily_dialog/rag/lmcache_vllm/benchmark_lmcache_google_gemma-4-12B-it_public_dataset_daily_dialog_rag.json
google/gemma-4-12B-it,daily_dialog,rag,sglang_radix_attention,256,57033,37462,41.49701216442736,45.39246750937309,24.097515816396,4858.73,3980.1333785250076,18.9794140625,nvml,,0,True,results_full/gemma4_12b/daily_dialog/rag/sglang_radix_attention/benchmark_sglang_radix_attention_google_gemma-4-12B-it_public_dataset_daily_dialog_rag.json
google/gemma-4-12B-it,daily_dialog,rag,vllm_apc,256,53705,33472.0,21.563678066513603,24.778348233667202,46.37254255623281,2747.175,2271.477636884145,10.73115234375,nvml,,0,True,results_full/gemma4_12b/daily_dialog/rag/vllm_apc/benchmark_vllm_apc_google_gemma-4-12B-it_public_dataset_daily_dialog_rag.json
google/gemma-4-12B-it,daily_dialog,templated,lmcache_vllm,256,50377,256.0,26.5158964409693,32.9890729917679,37.71193472562048,3925.03,3348.418121779854,15.3321484375,nvml,,0,True,results_full/gemma4_12b/daily_dialog/templated/lmcache_vllm/benchmark_lmcache_google_gemma-4-12B-it_public_dataset_daily_dialog_templated.json
